review_text,rating,isrecommended
My oackage came and it was great and everything I saw was good. Then I took the tag off and immediately  saw rips on the crotch. I haven’t been able to wear the bottoms because of it makes me uncomfortable knowing there’s rips in it. I’ve had to pay 30 pounds to get it restitched,1,FALSE
"Love my gymshark leggings, sports bra and shorts. Really comfortable and looks great on",5,TRUE
Hello gymshark! I was gonna email you guys later today. I recieved these leggings with really high expectations!! It was the first product I’ve tried from you guys. I wore them once since I have gotten them and the seems are already wearing out right in between my thighs for some reason.the seems have little black clumps of fabric and already I can tell they won’t last long. I was wondering if I’m able to return the product to try a different fabric. Thank you guys for your time,2,FALSE
"Lovely material and very confy, just to big in the size, so I've reordered a smaller size",4,TRUE
"I've been looking for a sports bra and have tried quite a few. This is by far the most supportive and comfortable! Did I mention comfortable?! It feels great! And I can actually reach around and fasten it, which is not the case for many I have tried. I am 67 and I work with a trainer (strength training & boxing) twice a week.",5,TRUE
Super comfy and conducive to strenuous workouts. A lot more light weight and soft that i would’ve thought. I have to still wear it  with a sport bra although I wish I didn’t. I’d definitely recommend,5,TRUE
"Fit perfectly, great design & definitely well priced.",5,TRUE
They fall down when you walk or run. That’s the only negative.,4,TRUE
"Sleeves are a little short for a 6'3"" guy.  Otherwise same good quality.",3,FALSE
"Wife loves them, fits good, makes her booty look good, too! Which is always a plus ;)",5,TRUE
"Solid materials & construction. Fit true to size. However, the material is very heavy. If running in a hotter climate or dislike heavy wear when running, i'd stray away.",3,FALSE
"Best joggers I have ever owned!! Always wanted these before, so was super stoked when they released them again!",5,TRUE
"Fits great, great quality and a good price. I'm a 32 waist and it's perfect",5,TRUE
These leggings we’re as soft as I thought but they were good overall. Feels great when working out in them.,3,FALSE
Love this shorts. It is very comfortable. Good length not too long. I own this shorts in 4 different colors. Love it.,5,TRUE
"I bought these because the vitals are the only things that fit me pregnant, but I didn’t realize these were way more compression than the older style so they don’t work for me now. I’m sure I will love them after baby gets here but I was really bummed they didn’t stretch as good as the other.",4,TRUE
"HI Gym-shark, It was a pleasure to shop on your site. I can't believe the quality and speedy delivery. So awesome. I did however, have to return this shirt as it was a gift for my niece and was too short. I returned it for and ecard and she has already purchased to tops in its place. To everyone shopping on gym-shark you will enjoy your purchase and the quality. I purchased a little jacket for myself at the same time and I can tell you I prefer gym-shark over Lulu anytime. Awesome stuff. Happy shopping everyone.

Sheryl",5,TRUE
This is a good product to buy great for the price very spacious with a lot of space and apartment to place things I would definitely recommend this bag for anyone.,5,TRUE
Wasnt expecting them to be see-through with this fabric type but they were. Comfortable otherwise,2,FALSE
"Very comfortable, and good fit. I do suggest to go one size up then the suggested size chart",5,TRUE
Perfect fit. I will definitely be buying another pair.,5,TRUE
"Elite shirt. Fits great, makes the arms look big. One of my favorite shirts.",5,TRUE
"I’m a uk size 16 but found the XL still too tight. Such a shame as fabric and design were lovely. 
But cannot fault company on an easy and free returns service.",4,TRUE
Le legging taille parfaitement. Il est bien galbant. Parfait pour faire des squats. On ne voit pas à travers J’enlève une étoile car l’élastique autour de la taille se détend assez rapidement,4,TRUE
"very small - not true to sizing. need to size up. love the quality and we’re very cute leggings, just didn’t fit.",3,FALSE
It arrived quicker than excepted. Fit and quality’s good as always,5,TRUE
Bought this as a gift for my son. He loves it abs it runs true to size.,5,TRUE
My water bottle came with a broken lid. I was so exited to get my order but now where or how can I get a replacement?,1,FALSE
"Leg are little small for my quads, but I love the fit.",4,TRUE
"Die Hose sah leider nach ein paar mal tragen aus wie 10 Jahre alt, voller Flusen und abgenutzt, da der Stoff sehr dünn ist, sehr schade. Das Oberteil sah ebenfalls nach 2-3 mal tragen nicht mehr schön aus (Pippa Training Joggers und Pippa Training Pullover) was sehr schade ist da diese wirklich sehr gemütlich sind und sonst die Gymshark Qualität immer super ist.",2,FALSE
"Great quality material, stitching finish is perfect",5,TRUE
"These are lovely but not squat proof at all so had to return them unfortunately. Not quite as black as the photo, more a charcoal  marl colour.",3,FALSE
Sizing was not the same as normal so as a result the products fit strangely,2,FALSE
Extremely comfortable - love the material. A little pricey for the look. Got them while on sale.,3,FALSE
I loved the top and bra however the leggings have arrived with a rip on the inside of the leg. I’ve not got time to mess around sending back,1,FALSE
"Absolutely  love this jacket it’s so comfy and fits perfect, very flattering",5,TRUE
It's to early to tell as it's for my daughter's Birthday present but the quality seems pretty good. But most of all is the delivery time was superb. It was ordered in the afternoon and suprisingly delivered in the morning the following day.,4,TRUE
"Love my purchase! The pants are smaller than I thought they were going to be, so next time I would size up.",4,TRUE
Worn once and the material started to fray at the front?,2,FALSE
The shorts that I ordered were a little shorter than I expected.,4,TRUE
the training leggings are my absolute favorite leggings ever! i cant stop buying them they’re so buttery soft & comfortable ,5,TRUE
"Verschiedene Größen zur Anprobe sind manchmal notwendig, da Sportbekleidung anders ausfällt als die Alltagskleidung. Der Shop ist modern und simpel gestaltet. Der Support ist sehr gut.",5,TRUE
Size S is good however It’s a bit short although I am only 1.63m tall.,3,FALSE
I like the style but the pocket zipper broke within the first week,1,FALSE
Fits great but HUGEEE camel toe in each legging I got.,4,TRUE
"Good quality and very comfy, I like the colour too.",5,TRUE
Great fit loves the shorts so much perfect length and fit,5,TRUE
I have bought alot of your stuff before . And i love your tights ... relly good quality and i have had them meny years. But these new thights were really bad quality . I have had them one week and they have already ripped between the legs . Im soooo disappointed.  Had them one week payed 700 kr swedish . And now i need to throw them away.,1,FALSE
Within a week the top has already broken off of bottle,2,FALSE
"so comfy. so flattering. SO GOOD. these were my first leggings from gymshark, will definitely be buying more",5,TRUE
"Love this long sleeve so bad and fits so good on the skin and u also feel ""bigger"" in it and the sweat doesn't stink and comfortable.",5,TRUE
"Great site, quick shipping, easy returns! Thank you",5,TRUE
"I love the quality of the product, how quick the delivery was and the very professional and supportive customer service team! 100% worth its value",5,TRUE
